Control1 Control2 Control3 Treatment1 Treatment2 Treatment3
245130_at 247.177833493386 271.054898157457 176.563520667581 14.8934519269761 229.095724230581 414.131247456052
245131_s_at 1609.43060522109 1247.51134264432 1120.73002096261 925.847662420308 1084.29702069415 1204.70329176575
245132_at 358.946427292329 483.476901751268 500.750019487106 279.344037881667 379.363720566156 450.321999475082
245133_at 91.055958366597 218.186764878928 307.978741956369 113.905535958122 122.060863254159 257.466982986986
245134_s_at 484.768183173905 366.147654544124 158.539439624175 454.749320090424 508.770443589091 392.463252860678
245135_at 7.53724590450474 13.8928073665432 265.992145989883 206.267908932559 3.55156259795453 51.0624854528077
245136_at 1730.57313008532 1630.97340852209 1465.51717794258 1917.51101561949 1668.37111822307 2061.17870188448
245137_at 225.377722691373 123.521371534422 539.35879691938 406.335203365053 187.742650103899 288.933598170193
245138_at 5.48937449840473 35.2948855503722 18.4177238380838 14.5459051752819 6.09599857729633 7.45988177424522
245139_at 906.547265466686 1142.64327695728 884.617908968198 1384.58406046969 1278.58252753527 1477.55245090949
245140_at 57.6877417461367 81.0647654155548 231.951838982109 110.523123024722 86.322223397073 199.610876539976
245141_at 370.556223669420 689.005719686679 607.302409603842 440.152572228761 377.588259490804 511.256484738377
245142_at 157.000014116774 50.9241822782605 222.970474863781 309.397509621772 120.289739751507 63.5356135106015
245143_at 168.56070931761 331.917899250642 68.4806527106234 184.704136917395 141.270728111442 275.885762916276
245144_at 1099.53655435373 802.814561540252 801.343107363162 653.827601108306 909.990430551712 1056.18150140732
245145_at 806.7996213201 703.477748761207 540.705115425543 681.427217615833 729.279796523506 612.010346353145
245146_at 752.954973828393 893.206365264876 725.541630579002 679.741414230682 716.775739356859 633.603308307105
245147_at 132.763422462199 278.107222447555 379.218031163541 37.2280707486833 144.786457437809 251.553253308985
245148_at 1176.52616491349 1098.41996937929 869.143556847716 1496.21370373022 1714.56944925463 1365.84431867730
245149_at 242.342816522371 265.473020121124 160.301808041357 236.624644860916 273.375980641525 406.102692899925
245150_at 296.344975424969 477.122687009078 23.8975737535515 46.8314291673275 262.807097688157 236.973836782412
